name,mass,GeoLocation,KE,crater_diameter,crater_depth
Aachen,21.0,"(50.775000, 6.083330)",4200000.0,85.1581490114354,12.200466247833944
Aarhus,720.0,"(56.183330, 10.233330)",144000000.0,240.82579670840073,34.50271099661889
Abee,107000.0,"(54.216670, -113.000000)",21400000000.0,1048.3427293037905,150.1943176725868
Acapulco,1914.0,"(16.883330, -99.900000)",382800000.0,321.0558895304527,45.99714283783453
Achiras,780.0,"(-33.166670, -64.950000)",156000000.0,246.5622253717021,35.324559581894235
Adhi Kot,4239.0,"(32.100000, 71.800000)",847800000.0,405.6389868477447,58.11522238672538
Adzhi-Bogdo (stone),910.0,"(44.833330, 95.166670)",182000000.0,257.99755603609543,36.96288037002006
Agen,30000.0,"(44.216670, 0.616670)",6000000000.0,721.2451064114151,103.33158575353995
Aguada,1620.0,"(-31.600000, -65.233330)",324000000.0,305.6890514212199,43.79556152278684
Aguila Blanca,1440.0,"(-30.866670, -64.550000)",288000000.0,295.28128859451255,42.30445866819505
Aioun el Atrouss,1000.0,"(16.398060, -9.570280)",200000000.0,265.2537415067717,38.00246198317984
Aïr,24000.0,"(19.083330, 8.383330)",4800000000.0,675.432019132552,96.76802100320957
Akaba,779.0,"(29.516670, 35.050000)",155800000.0,246.46921667043787,35.3112343800938
Akbarpur,1800.0,"(29.716670, 77.950000)",360000000.0,315.30957724977804,45.173878243151165
Akwanga,3000.0,"(8.916670, 8.433330)",600000000.0,366.4231294655572,52.496831781417605
Akyumak,50000.0,"(39.916670, 42.816670)",10000000000.0,838.1632150476507,120.08224854666179
Al Rais,160.0,"(24.416670, 39.516670)",32000000.0,154.73665538849275,22.16886303055399
Al Zarnkh,700.0,"(13.660330, 28.960000)",140000000.0,238.83878437669935,34.218035047594945
Alais,6000.0,"(44.116670, 4.083330)",1200000000.0,449.2786707996776,64.36740726042669
Albareto,2000.0,"(44.650000, 11.016670)",400000000.0,325.2328764906899,46.59557280628268
Alberta,625.0,"(2.000000, 22.666670)",125000000.0,231.00949547278506,33.09634585958876
Alby sur Chéran,252.0,"(45.821330, 6.015330)",50400000.0,176.85340163952054,25.337492448642188
Aldsworth,700.0,"(51.783330, -1.783330)",140000000.0,238.83878437669935,34.218035047594945
Aleppo,3200.0,"(36.233330, 37.133330)",640000000.0,373.44455115841123,53.50277917893526
Alessandria,908.0,"(44.883330, 8.750000)",181600000.0,257.8306636979983,36.93896998256316
Alexandrovsky,9251.0,"(50.950000, 31.816670)",1850200000.0,510.29064847607964,73.1084917367295
Alfianello,228000.0,"(45.266670, 10.150000)",45600000000.0,1309.5743404721757,187.62053573774438
