name,mass,GeoLocation,KE,crater_diameter,crater_depth
Aachen,21.0,"(50.775000, 6.083330)",4200000.0,61.64599292086359,8.831918784944586
Aarhus,720.0,"(56.183330, 10.233330)",144000000.0,174.3338192690617,24.97651607672395
Abee,107000.0,"(54.216670, -113.000000)",21400000000.0,758.8954107095731,108.72568217464313
Acapulco,1914.0,"(16.883330, -99.900000)",382800000.0,232.41239180219998,33.297336481331115
Achiras,780.0,"(-33.166670, -64.950000)",156000000.0,178.48642057467993,25.571452353029144
Adhi Kot,4239.0,"(32.100000, 71.800000)",847800000.0,293.6421047419013,42.06961552634738
Adzhi-Bogdo (stone),910.0,"(44.833330, 95.166670)",182000000.0,186.76445763124232,26.75743294184333
Agen,30000.0,"(44.216670, 0.616670)",6000000000.0,522.109407498689,74.80174566745158
Aguada,1620.0,"(-31.600000, -65.233330)",324000000.0,221.2883360976706,31.703611538531916
Aguila Blanca,1440.0,"(-30.866670, -64.550000)",288000000.0,213.7541555056162,30.624202027105106
Aioun el Atrouss,1000.0,"(16.398060, -9.570280)",200000000.0,192.01721104768535,27.509986179665606
Aïr,24000.0,"(19.083330, 8.383330)",4800000000.0,488.9453088556284,70.05038046245913
Akaba,779.0,"(29.516670, 35.050000)",155800000.0,178.41909156616725,25.561806238060765
Akbarpur,1800.0,"(29.716670, 77.950000)",360000000.0,228.25263574493795,32.70137515566828
Akwanga,3000.0,"(8.916670, 8.433330)",600000000.0,265.2537415067717,38.00246198317984
Akyumak,50000.0,"(39.916670, 42.816670)",10000000000.0,606.7464384931308,86.92755220448538
Al Rais,160.0,"(24.416670, 39.516670)",32000000.0,112.01388091932587,16.048042252088056
Al Zarnkh,700.0,"(13.660330, 28.960000)",140000000.0,172.8954208356096,24.770439127635814
Alais,6000.0,"(44.116670, 4.083330)",1200000000.0,325.2328764906899,46.59557280628268
Albareto,2000.0,"(44.650000, 11.016670)",400000000.0,235.4361130968789,33.730539997692574
Alberta,625.0,"(2.000000, 22.666670)",125000000.0,167.2277977842762,23.958448207847816
Alby sur Chéran,252.0,"(45.821330, 6.015330)",50400000.0,128.0241958292978,18.34181341719493
Aldsworth,700.0,"(51.783330, -1.783330)",140000000.0,172.8954208356096,24.770439127635814
Aleppo,3200.0,"(36.233330, 37.133330)",640000000.0,270.3365494000474,38.73066740880278
Alessandria,908.0,"(44.883330, 8.750000)",181600000.0,186.64364425034674,26.74012420987799
Alexandrovsky,9251.0,"(50.950000, 31.816670)",1850200000.0,369.39945347232793,52.923244767241755
Alfianello,228000.0,"(45.266670, 10.150000)",45600000000.0,948.0010011872333,135.81852532215663
Allegan,32000.0,"(42.533330, -85.883330)",6400000000.0,532.1140988652011,76.23510114492602
Allende,2000000.0,"(26.966670, -105.316670)",400000000000.0,1795.4490239089769,134.37006746836866
Almahata Sitta,3950.0,"(20.745750, 32.412750)",790000000.0,287.6069412508247,41.204967699594455
Alta'ameem,6000.0,"(35.273330, 44.215560)",1200000000.0,325.2328764906899,46.59557280628268
Ambapur Nagla,6400.0,"(27.666670, 78.250000)",1280000000.0,331.46500811827497,47.48843993006434
Andhara,2700.0,"(26.583330, 85.566670)",540000000.0,257.16048758931754,36.84295496710097
Andover,3200.0,"(44.616670, -70.750000)",640000000.0,270.3365494000474,38.73066740880278
Andreevka,600.0,"(48.700000, 37.500000)",120000000.0,165.2321067407349,23.672528874225847
Andura,17900.0,"(20.883330, 76.866670)",3579999999.9999995,448.5431554154129,64.26203119572054
Northwest Africa 5815,256.8,"(0.000000, 0.000000)",51360000.00000001,128.73660524582806,18.44387912836779
Angra dos Reis (stone),1500.0,"(-22.966670, -44.316670)",300000000.0,216.33590103968274,30.994084411991665
Ankober,6500.0,"(9.533330, 39.716670)",1300000000.0,332.97986713890595,47.70547126019521
Anlong,2500.0,"(25.150000, 105.183330)",500000000.0,251.40523344115277,36.01840928594764
Aomori,320.0,"(40.810560, 140.785560)",64000000.0,137.3424423396792,19.676823082842294
Appley Bridge,15000.0,"(53.583330, -2.716670)",3000000000.0,425.8224915920375,61.00687951237138
Apt,3200.0,"(43.866670, 5.383330)",640000000.0,270.3365494000474,38.73066740880278
Arbol Solo,810.0,"(-33.000000, -66.000000)",162000000.0,180.47855350624556,25.85686192187148
Archie,5070.0,"(38.500000, -94.300000)",1014000000.0,309.5159245610355,44.34383126701053
Arroyo Aguiar,7450.0,"(-31.416670, -60.666670)",1490000000.0,346.6101827475422,49.658263887336034
Asco,41.0,"(42.450000, 9.033330)",8200000.0,75.0515886807127,10.752516173436225
Ash Creek,9500.0,"(31.805000, -97.010000)",1900000000.0,372.29625690536074,53.33826497284275
Ashdon,1300.0,"(52.050000, 0.300000)",260000000.0,207.42012775041988,29.71673641474499
Assisi,2000.0,"(43.033330, 12.550000)",400000000.0,235.4361130968789,33.730539997692574
Atarra,1280.0,"(25.254170, 80.625000)",256000000.0,206.47649036392266,29.581543057235454
Atemajac,94.2,"(20.066670, -103.666670)",18840000.0,95.85362197602794,13.732788854935338
Athens,265.0,"(34.750000, -87.000000)",53000000.0,129.93219314113733,18.615169015857955
Atoka,1384.2,"(34.316670, -96.150000)",276840000.0,211.28406202919027,30.270315846651812
Aubres,800.0,"(44.383330, 5.166670)",160000000.0,179.82038479462298,25.762567186197348
Aumale,50000.0,"(36.166670, 3.666670)",10000000000.0,606.7464384931308,86.92755220448538
Aumieres,2000.0,"(44.333330, 3.233330)",400000000.0,235.4361130968789,33.730539997692574
Ausson,50000.0,"(43.083330, 0.583330)",10000000000.0,606.7464384931308,86.92755220448538
Avanhandava,9330.0,"(-21.460280, -49.950830)",1866000000.0,370.32441795533333,53.05576288895242
Avce,1230.0,"(46.000000, 13.500000)",246000000.0,204.07098032577417,29.236909638473435
Avilez,146.0,"(25.000000, -103.500000)",29200000.0,109.03761220183449,15.621637187466916
Awere,134.0,"(2.716670, 32.833330)",26800000.0,106.32164287949354,15.232524783873885
Aztec,2830.0,"(36.800000, -108.000000)",566000000.0,260.74173328710987,37.35603407659698
Bachmut,18000.0,"(48.600000, 38.000000)",3600000000.0,449.2786707996776,64.36740726042669
