name,mass,GeoLocation,KE,crater_diameter,crater_depth
Aachen,21.0,"(50.775000, 6.083330)",4200000.0,113.63277621339056,16.279978685926714
Aarhus,720.0,"(56.183330, 10.233330)",144000000.0,321.3515580300178,46.0395027715739
Abee,107000.0,"(54.216670, -113.000000)",21400000000.0,1398.880742909477,200.41531534838924
Acapulco,1914.0,"(16.883330, -99.900000)",382800000.0,428.408466723554,61.37736786464367
Achiras,780.0,"(-33.166670, -64.950000)",156000000.0,329.00609634640927,47.13615573380943
Adhi Kot,4239.0,"(32.100000, 71.800000)",847800000.0,541.2739092028241,77.54741192384776
Adzhi-Bogdo (stone),910.0,"(44.833330, 95.166670)",182000000.0,344.2650983960973,49.32228755611863
Agen,30000.0,"(44.216670, 0.616670)",6000000000.0,962.4103473743405,137.88292836343868
Aguada,1620.0,"(-31.600000, -65.233330)",324000000.0,407.9033653768894,58.439636129131166
Aguila Blanca,1440.0,"(-30.866670, -64.550000)",288000000.0,394.0155226055479,56.449948014089784
Aioun el Atrouss,1000.0,"(16.398060, -9.570280)",200000000.0,353.9475599024117,50.70947769793204
Aïr,24000.0,"(19.083330, 8.383330)",4800000000.0,901.2785783676596,129.12468158266097
Akaba,779.0,"(29.516670, 35.050000)",155800000.0,328.88198800141424,47.11837493782263
Akbarpur,1800.0,"(29.716670, 77.950000)",360000000.0,420.7407399701874,60.27882541699722
Akwanga,3000.0,"(8.916670, 8.433330)",600000000.0,488.9453088556284,70.05038046245913
Akyumak,50000.0,"(39.916670, 42.816670)",10000000000.0,1118.4227716482665,160.2345686784622
Al Rais,160.0,"(24.416670, 39.516670)",32000000.0,206.47649036392266,29.581543057235454
Al Zarnkh,700.0,"(13.660330, 28.960000)",140000000.0,318.70014145694097,45.65963873290829
Alais,6000.0,"(44.116670, 4.083330)",1200000000.0,599.5055464342438,85.89016165297403
Albareto,2000.0,"(44.650000, 11.016670)",400000000.0,433.98212737739397,62.175896948160066
Alberta,625.0,"(2.000000, 22.666670)",125000000.0,308.25294592420335,44.16288642016637
Alby sur Chéran,252.0,"(45.821330, 6.015330)",50400000.0,235.98849017234855,33.80967814176425
Aldsworth,700.0,"(51.783330, -1.783330)",140000000.0,318.70014145694097,45.65963873290829
Aleppo,3200.0,"(36.233330, 37.133330)",640000000.0,498.31450780118996,71.39268999867527
Alessandria,908.0,"(44.883330, 8.750000)",181600000.0,344.0424016850148,49.29038216904052
Alexandrovsky,9251.0,"(50.950000, 31.816670)",1850200000.0,680.9183118139608,97.55403302275545
Alfianello,228000.0,"(45.266670, 10.150000)",45600000000.0,1747.4612787284793,130.77870036649475
Allegan,32000.0,"(42.533330, -85.883330)",6400000000.0,980.8521114090984,140.52504919706985
Allende,2000000.0,"(26.966670, -105.316670)",400000000000.0,3309.572081973064,247.68590922060906
Almahata Sitta,3950.0,"(20.745750, 32.412750)",790000000.0,530.1492220999154,75.95359652165384
Alta'ameem,6000.0,"(35.273330, 44.215560)",1200000000.0,599.5055464342438,85.89016165297403
Ambapur Nagla,6400.0,"(27.666670, 78.250000)",1280000000.0,610.9933071955778,87.53599401380923
Andhara,2700.0,"(26.583330, 85.566670)",540000000.0,474.0269197168436,67.91304768488367
Andover,3200.0,"(44.616670, -70.750000)",640000000.0,498.31450780118996,71.39268999867527
Andreevka,600.0,"(48.700000, 37.500000)",120000000.0,304.57426539693995,43.63584798484982
