name,mass,GeoLocation,KE,crater_diameter,crater_depth
Aachen,21.0,"(50.775000, 6.083330)",4200000.0,69.45336488982241,9.950467970164379
Aarhus,720.0,"(56.183330, 10.233330)",144000000.0,196.412934379594,28.13975414395715
Abee,107000.0,"(54.216670, -113.000000)",21400000000.0,855.0083691714708,122.49562573619686
Acapulco,1914.0,"(16.883330, -99.900000)",382800000.0,261.8470704734402,37.51439389525025
Achiras,780.0,"(-33.166670, -64.950000)",156000000.0,201.09145637357494,28.810038201794626
Adhi Kot,4239.0,"(32.100000, 71.800000)",847800000.0,330.8314341507247,47.39766884243108
Adzhi-Bogdo (stone),910.0,"(44.833330, 95.166670)",182000000.0,210.4178943303609,30.146221442332234
Agen,30000.0,"(44.216670, 0.616670)",6000000000.0,588.233776004973,84.27527386745882
Aguada,1620.0,"(-31.600000, -65.233330)",324000000.0,249.3141699020568,35.7188260936522
Aguila Blanca,1440.0,"(-30.866670, -64.550000)",288000000.0,240.82579670840073,34.50271099661889
Aioun el Atrouss,1000.0,"(16.398060, -9.570280)",200000000.0,216.33590103968274,30.994084411991665
Aïr,24000.0,"(19.083330, 8.383330)",4800000000.0,550.8694943191313,78.92215542988619
Akaba,779.0,"(29.516670, 35.050000)",155800000.0,201.01560024774528,28.799170420923154
Akbarpur,1800.0,"(29.716670, 77.950000)",360000000.0,257.16048758931754,36.84295496710097
Akwanga,3000.0,"(8.916670, 8.433330)",600000000.0,298.84772755481737,42.8154164410597
Akyumak,50000.0,"(39.916670, 42.816670)",10000000000.0,683.5899592429381,97.93679550246802
Al Rais,160.0,"(24.416670, 39.516670)",32000000.0,126.20026988943293,18.080502584042815
Al Zarnkh,700.0,"(13.660330, 28.960000)",140000000.0,194.79236495533723,27.907577860272763
Alais,6000.0,"(44.116670, 4.083330)",1200000000.0,366.4231294655572,52.496831781417605
Albareto,2000.0,"(44.650000, 11.016670)",400000000.0,265.2537415067717,38.00246198317984
Alberta,625.0,"(2.000000, 22.666670)",125000000.0,188.40694599797618,26.992749515928395
Alby sur Chéran,252.0,"(45.821330, 6.015330)",50400000.0,144.23826702041768,20.664776405512946
Aldsworth,700.0,"(51.783330, -1.783330)",140000000.0,194.79236495533723,27.907577860272763
Aleppo,3200.0,"(36.233330, 37.133330)",640000000.0,304.57426539693995,43.63584798484982
Alessandria,908.0,"(44.883330, 8.750000)",181600000.0,210.28178011710315,30.126720585585353
Alexandrovsky,9251.0,"(50.950000, 31.816670)",1850200000.0,416.18333676691395,59.625893846680434
Alfianello,228000.0,"(45.266670, 10.150000)",45600000000.0,1068.063897290074,153.0197365805554
Allegan,32000.0,"(42.533330, -85.883330)",6400000000.0,599.5055464342438,85.89016165297403
Allende,2000000.0,"(26.966670, -105.316670)",400000000000.0,2022.839933143845,151.3878337255587
Almahata Sitta,3950.0,"(20.745750, 32.412750)",790000000.0,324.031926311609,46.42351467332304
Alta'ameem,6000.0,"(35.273330, 44.215560)",1200000000.0,366.4231294655572,52.496831781417605
